titulo,url
Aprueban la primera Política Nacional de Cultura del Perú,https://www.gob.pe/institucion/cultura/noticias/213929-aprueban-la-primera-politica-nacional-de-cultura-del-peru
Ministerio de Cultura otorga Personalidad Meritoria de la Cultura a la agrupación Los Mirlos de Moyobamba,https://www.gob.pe/institucion/cultura/noticias/1334193-ministerio-de-cultura-otorga-personalidad-meritoria-de-la-cultura-a-la-agrupacion-los-mirlos-de-moyobamba
Se suspende temporalmente el ingreso al Parque Arqueológico de Choquequirao desde el 1 de febrero de 2026,https://www.gob.pe/institucion/cultura/noticias/1334661-se-suspende-temporalmente-el-ingreso-al-parque-arqueologico-de-choquequirao-desde-el-1-de-febrero-de-2026
Museo Tumbas Reales de Sipán alcanza récord histórico con más de 191 mil visitantes en 2025,https://www.gob.pe/institucion/cultura/noticias/1333395-museo-tumbas-reales-de-sipan-alcanza-record-historico-con-mas-de-191-mil-visitantes-en-2025
Museos e investigación arqueológica en Lambayeque cuentan este 2026 con un presupuesto inicial superior a los de S/ 20 millones,https://www.gob.pe/institucion/cultura/noticias/1337293-museos-e-investigacion-arqueologica-en-lambayeque-cuentan-este-2026-con-un-presupuesto-inicial-superior-a-los-de-s-20-millones
Ministerio de Cultura inicia nueva fase de investigación y conservación en el Parque Nacional del Río Abiseo y el Gran Pajatén,https://www.gob.pe/institucion/cultura/noticias/1337323-ministerio-de-cultura-inicia-nueva-fase-de-investigacion-y-conservacion-en-el-parque-nacional-del-rio-abiseo-y-el-gran-pajaten
Latina IberCultura Viva abre la Convocatoria de Movilidad 2026,https://www.gob.pe/institucion/cultura/noticias/1337290-latina-ibercultura-viva-abre-la-convocatoria-de-movilidad-2026
Puno: Paisaje Cultural Cuyocuyo cumple cinco años como Patrimonio Cultural de la Nación,https://www.gob.pe/institucion/cultura/noticias/1334529-puno-paisaje-cultural-cuyocuyo-cumple-cinco-anos-como-patrimonio-cultural-de-la-nacion
Ministerio de Cultura crea Grupo de Trabajo Multisectorial para proteger y recuperar el Complejo Arqueológico de Chan Chan,https://www.gob.pe/institucion/cultura/noticias/1336450-ministerio-de-cultura-crea-grupo-de-trabajo-multisectorial-para-proteger-y-recuperar-el-complejo-arqueologico-de-chan-chan
Gobierno y autoridades del Cusco articulan acciones para fortalecer el acceso y la continuidad del servicio turístico hacia Machupicchu,https://www.gob.pe/institucion/cultura/noticias/1335282-gobierno-y-autoridades-del-cusco-articulan-acciones-para-fortalecer-el-acceso-y-la-continuidad-del-servicio-turistico-hacia-machupicchu
Ministerio de Cultura culmina proyecto de investigación y conservación en el Monumento Arqueológico Chavín para garantizar su preservación,https://www.gob.pe/institucion/cultura/noticias/1334667-ministerio-de-cultura-culmina-proyecto-de-investigacion-y-conservacion-en-el-monumento-arqueologico-chavin-para-garantizar-su-preservacion
Ministerio de Cultura entregó distinción de Personalidad Meritoria de la Cultura a emblemática agrupación Los Mirlos de Moyobamba,https://www.gob.pe/institucion/cultura/noticias/1335057-ministerio-de-cultura-entrego-distincion-de-personalidad-meritoria-de-la-cultura-a-emblematica-agrupacion-los-mirlos-de-moyobamba
Se suspende temporalmente el ingreso al Parque Arqueológico de Choquequirao desde el 1 de febrero de 2026,https://www.gob.pe/institucion/cultura/noticias/1334661-se-suspende-temporalmente-el-ingreso-al-parque-arqueologico-de-choquequirao-desde-el-1-de-febrero-de-2026
Niñas y niños de la región San Martín fortalecen su identidad regional a través del arte y la mitología amazónica,https://www.gob.pe/institucion/cultura/noticias/1334554-ninas-y-ninos-de-la-region-san-martin-fortalecen-su-identidad-regional-a-traves-del-arte-y-la-mitologia-amazonica
Ministerio de Cultura otorga Personalidad Meritoria de la Cultura a la agrupación Los Mirlos de Moyobamba,https://www.gob.pe/institucion/cultura/noticias/1334193-ministerio-de-cultura-otorga-personalidad-meritoria-de-la-cultura-a-la-agrupacion-los-mirlos-de-moyobamba
